time,ids,post,likes,shares,link
2020-09-21 16:01:59.385952,3380566975370556,"Tata Motors M&HCV BS6 Range drives your profits higher with High Economy Drivetrain design and optimized gearbox and axle ratios.
#TataMotorsBS6Trucks",208,7 comments,https://www.facebook.com/TataMotorsGroup/posts/3380566975370556
2020-09-20 16:01:59.503782,3379776878782899,"TATA ACE ki 15th anniversary par shuru kariye apna kaarobaar aur baniye atmanirbhar. Ghar le aiye TATA ACE GOLD Diesel aur saath mein paiye LED TV, low interest rate of 5.99% aur discounted Gold AMC for 2 years/ 50,000 kms*. Click here for T&Cs: http://bit.ly/2r0SGIl #TataAceBS6 #15YearsOfTataAce #TataAce15thAnniversary",331,5 comments,https://www.facebook.com/TataMotorsGroup/posts/3379776878782899
2020-09-20 16:01:59.614170,3379764375450816,"TATA ACE की पन्द्रवीं सालगिरह पर शुरू कीजिए अपना कारोबार और बनिए आत्मनिर्भर। घर ले आइये TATA ACE GOLD डीजल और साथ में पाइए LED TV, 5.99% की कम ब्याज दर और रियायती Gold AMC 2 साल/50,000 kms तक। टर्म्स और कंडीशंस जानने के लिए यहाँ क्लिक करें:  http://bit.ly/2r0SGIl #TataAceBS6 #15YearsOfTataAce #TataAce15thAnniversary",380,11 comments,https://www.facebook.com/TataMotorsGroup/posts/3379764375450816
-1,3379636238796963,,,,https://www.facebook.com/TataMotorsGroup/posts/3379636238796963
2020-09-20 16:02:04.950899,3379668038793783,"राह हो चाहे कितनी भी कठिन, TATA YODHA BS6 के दमदार रेडियल टायर्स और परफॉरमेंस के साथ आगे बढ़ाओ अपना कारोबार हर दिन। YODHA की दमदार परफॉरमेंस से मिले आपको जानदार सफलता और शानदार मुनाफा। अधिक जानकारी के लिए यहाँ क्लिक करें: https://bit.ly/31ZZtWv #TataYodhaBS6",118,2 comments,https://www.facebook.com/TataMotorsGroup/posts/3379668038793783
2020-09-20 16:02:05.056339,3379565758804011,"India ka smart pickup TATA INTRA V30 BS6 comes with 52 kW (70 Hp) powerful engine and 1300 kg payload capacity, so you can expand your business and earn bigger profits. Click here for more information: http://bit.ly/2YFalUJ #TataIntraBS6",175,14 comments,https://www.facebook.com/TataMotorsGroup/posts/3379565758804011
2020-09-20 16:02:05.165775,3379548355472418,इण्डिया का स्मार्ट पिकअप  TATA INTRA V30 BS6 के 52 kW (70 Hp) शक्तिशाली इंजन और 1300 किलोग्राम पेलोड क्षमता के साथ आप कमाएं अपने कारोबार में ज़्यादा मुनाफा। अधिक जानकारी के लिए यहां क्लिक करें: http://bit.ly/2YFalUJ #TataIntraBS6,279,26 comments,https://www.facebook.com/TataMotorsGroup/posts/3379548355472418
2020-09-20 16:02:05.268602,3377179929042594,"Tata Motors M&HCV BS6 Range shifts your business profitability into top gear with technologically advanced Gear Shift Advisor feature.
#TataMotorsBS6Trucks",4.8K,47 comments,https://www.facebook.com/TataMotorsGroup/posts/3377179929042594
2020-09-19 15:30:00,3376494675777786,"TATA ACE ki 15th anniversary par shuru kariye apna kaarobaar aur baniye atmanirbhar. Ghar le aiye TATA ACE GOLD Diesel aur saath mein paiye LED TV, low interest rate of 5.99% aur discounted Gold AMC for 2 years/ 50,000 kms*. Click here for T&Cs:  http://bit.ly/2r0SGIl #TataAceBS6 #15YearsOfTataAce #TataAce15thAnniversary",10K,75 comments,https://www.facebook.com/TataMotorsGroup/posts/3376494675777786
2020-09-19 15:00:00,3376490302444890,"TATA ACE की पन्द्रवीं सालगिरह पर शुरू कीजिए अपना कारोबार और बनिए आत्मनिर्भर। घर ले आइये TATA ACE GOLD डीजल और साथ में पाइए LED TV, 5.99% की कम ब्याज दर और रियायती Gold AMC 2 साल/50,000 kms तक। टर्म्स और कंडीशंस जानने के लिए यहाँ क्लिक करें:  http://bit.ly/2r0SGIl #TataAceBS6 #15YearsOfTataAce #TataAce15thAnniversary",12K,49 comments,https://www.facebook.com/TataMotorsGroup/posts/3376490302444890
2020-09-19 13:30:00,3376431102450810,"No matter how difficult the road is, take your business to the next level with TATA YODHA BS6. The unparalleled performance will help you get tremendous success and greater profit. To know more, click here: https://bit.ly/31ZZtWv #TataYodhaBS6",3.4K,9 comments,https://www.facebook.com/TataMotorsGroup/posts/3376431102450810
2020-09-19 13:00:00,3376428479117739,"राह हो चाहे कितनी भी कठिन, TATA YODHA BS6 के दमदार रेडियल टायर्स और परफॉरमेंस के साथ आगे बढ़ाओ अपना कारोबार हर दिन। YODHA की दमदार परफॉरमेंस से मिले आपको जानदार सफलता और शानदार मुनाफा। अधिक जानकारी के लिए यहाँ क्लिक करें: https://bit.ly/31ZZtWv #TataYodhaBS6",4.6K,8 comments,https://www.facebook.com/TataMotorsGroup/posts/3376428479117739
2020-09-19 11:40:00,3376407459119841,Watch your business turn into a bigger success with TATA INTRA V30 BS6. Its powerful engine and bigger loading capacity give you the power to achieve a bigger profit. Click here for more information: http://bit.ly/2YFalUJ #TataIntraBS6,3K,8 comments,https://www.facebook.com/TataMotorsGroup/posts/3376407459119841
2020-09-19 11:12:00,3376349192459001,TATA INTRA V30 BS6 के साथ देखिये अपने कारोबार को बड़ी सफलता पाते हुए। इसका शक्तिशाली इंजन और बड़ी लोडिंग क्षमता आपको बड़ा मुनाफा पाने की शक्ति दे। अधिक जानकारी के लिए यहां क्लिक करें: http://bit.ly/2YFalUJ #TataIntraBS6,4K,10 comments,https://www.facebook.com/TataMotorsGroup/posts/3376349192459001
